file,text
BAR_1,не заставляй меня орать
BAR_2,тебе здесь не место
BAR_3,мы тебя не будем обслуживать
BAR_4,ты нам здесь не нужен ублюдок
BAR_5,да мне наплевать на тебя козел
BAR_6,ты даже на клиента не похож
BAR_7,отвали
BAR_8,проваливай
BIKE1_1,ну что мои болельщики поглядим что вы можете сделать
BJM1_20,спрячься оружие или предстать теплица перед последствиями
BJM1_4,для чего
BJM1_5,только авторизованным и персонал разрешено заходить за этот пункт
BK4_12A,это же фланец 9000
BK4_12B,для взлома могут побриться часы
BK4_12C,или 5 минут если вы сможете найти менеджера
BK4_14A,все по прежнему
BK4_19A,на замке с часовым механизмом
BK4_19B,теперь ты тоже можешь сдаваться
BK4_20A,я могу обойти часовой механизм
BK4_20B,когда нам просто нужен твой ключ карточка и нам повезет
BK4_23A,дайте мне 5 минут
BK4_24A,я сейчас начну фил через минуту вернусь
BK4_24B,я же сказал не касаться этого сигнала тревоги
BK4_31A,Томми подвал открыт
BK4_34A,ладно у нас есть средства отставки сват создавать убираться отсюда
BK4_34B,ладно а ты сам этого спросила у тебя был последний шанс
BK4_35A,они штурмуют город
BK4_35B,прикройте
BK4_40A,я сообщу ему об отказе
BNK1_1,могу вам помочь сэр
BNK1_10,да это я
BNK1_11,как вы скажете
BNK1_12,ты немного и достоин меня обратно домой
BNK1_13,я собираюсь делать работу а вы мой надежный взломщик
BNK1_14,в камере мне надрали задницу
BNK1_2,мошенник
BNK1_3,он обезумел
BNK1_4,кто ты черт подери
BNK1_5,где твой жетон
BNK1_6,вот они стрелять на поражение
BNK1_7,Джонс
BNK1_8,у тебя
BNK2_1,пригодная амуниция
BNK2_2,3 2 1 огонь
BNK2_3,зона свободная
BNK2_4,ух ты
BNK2_5,не смог подстрелить двери бара
BNK2_6,этот парень чокнутый
BNK2_7,так вы не хотите оказать мне услугу и помочь мне выполнить работу
BNK2_8,сынок после такой стрельбы если ты попросишь меня стать твоей женой я скажу да
BNK3_1,хорошо я поеду за тебя ну пожалуйста при на меня всерьез
BNK3_2,я не стану этого делать
BNK3_3A,незаконные уличные гонки проходят на Вити Поинт
BNK3_3B,вызывай всех офицеров
BNK3_3C,уличный гонщик я тоже не закон это запрещено
BNK422A,долго еще
BNK450A,что я сказал тебе то что я сказал чертов спецназ надо опасаться когда Кент боль в городе
BNK450B,ну уже дай мне кусок побольше приятель мой не нужно раздобыть новую одежду
BNK4_1,я поеду
BNK4_10,вилка понял
BNK4_11,давай кем подвал наверху
BNK4_13,я пойду найду где он отсиживается
BNK4_15,конечно все слишком тихо
BNK4_16,ты пойдешь со мной
BNK4_17,хорошо хорошо только не стреляй
BNK4_18,я сказал никому не двигаться
BNK4_2,отлично пассажир погоди пока я не скажу группе об этом
BNK4_21,оставайся здесь пытайся что нибудь выкинуть этот рок
BNK4_25,команда свадьба может быть здесь в любую минуту
BNK4_26,черт возьми вот они
BNK4_27,я мог бы справиться с небольшой помощью тория
BNK4_28,певица город сват вы полностью окружены
BNK4_29,окружены
BNK4_30,они гадят сами себе коррумпированный ублюдки
BNK4_32,откройте депозитные ящики взрывчаткой
BNK4_36,а где com
BNK4_37,история
BNK4_38,это последний из них вперед вперед
BNK4_3A,смотри за колесами толомея
BNK4_3B,домик Хиллари занимает слишком много места
BNK4_3C,а я нет
BNK4_3D,неужели
BNK4_3E,заткнитесь вы двое или можете выйти прогуляться
BNK4_3F,да Хиллари
BNK4_3G,дерьмо взяли с полицейские
BNK4_3H,а ведь мы еще даже не там
BNK4_3I,во имя господа фил перестань мы хоть этой штукой
BNK4_3J,да ты кому нибудь выколешь глаз
BNK4_3K,сначала нужно оторваться от копов
BNK4_3M,машина разгромлена разбита
BNK4_3O,ты цепляешься за иллюзию постоянство
BNK4_3P,чего
BNK4_3Q,ты думаешь все так и будет
BNK4_3R,молодые мы любимым пицца
BNK4_3S,все пройдет или окончится и ты должен это принять
BNK4_3T,ты прав спасибо кем
BNK4_3U,не обращай внимания
BNK4_3V,почему мы остановились
BNK4_42,ребята давайте я прикрываю
